Year,State,Num of Mass Shootings,,
2016,Alabama,15,,
2016,Alaska,0,,
2016,Arizona,4,,
2016,Arkansas,3,,
2016,California,47,,
2016,Colorado,4,,
2016,Connecticut,6,,
2016,Delaware,2,,
2016,Florida,30,,
2016,Georgia,17,,
2016,Hawaii,0,,
2016,Idaho,0,,
2016,Illinois,42,,
2016,Indiana,8,,
2016,Iowa,0,,
2016,Kansas,5,,
2016,Kentucky,2,,
2016,Louisiana,13,,
2016,Maine,0,,
2016,Maryland,11,,
2016,Massachusetts,3,,
2016,Michigan,11,,
2016,Minnesota,5,,
2016,Mississippi,6,,
2016,Missouri,10,,
2016,Montana,0,,
2016,Nebraska,0,,
2016,Nevada,3,,
2016,New Hampshire,0,,
2016,New Jersey,9,,
2016,New Mexico,4,,
2016,New York,15,,
2016,North Carolina,9,,
2016,North Dakota,0,,
2016,Ohio,11,,
2016,Oklahoma,1,,
2016,Oregon,2,,
2016,Pennsylvania,10,,
2016,Rhode Island,0,,
2016,South Carolina,5,,
2016,South Dakota,0,,
2016,Tennessee,12,,
2016,Texas,31,,
2016,Utah,0,,
2016,Vermont,0,,
2016,Virginia,11,,
2016,Washington,8,,
2016,West Virginia,1,,
2016,Wisconsin,2,,
2016,Wyoming,0,,
