year,state,num_mass_shootings
2016,Alabama,3
2016,Alaska,0
2016,Arizona,2
2016,Arkansas,0
2016,California,6
2016,Colorado,0
2016,Connecticut,0
2016,Delaware,1
2016,Florida,8
2016,Georgia,3
2016,Hawaii,0
2016,Idaho,0
2016,Illinois,2
2016,Indiana,0
2016,Iowa,0
2016,Kansas,5
2016,Kentucky,1
2016,Louisiana,0
2016,Lousiana,3
2016,Maine,0
2016,Maryland,2
2016,Massachusetts,1
2016,Michigan,5
2016,Minnesota,0
2016,Mississippi,1
2016,Missouri,2
2016,Montana,0
2016,Nebraska,0
2016,Nevada,0
2016,New Hampshire,0
2016,New Jersey,1
2016,New Mexico,2
2016,New York,1
2016,North Carolina,1
2016,North Dakota,0
2016,Ohio,0
2016,Oklahoma,0
2016,Oregon,0
2016,Pennsylvania,2
2016,Rhode Island,0
2016,South Carolina,0
2016,South Dakota,0
2016,Tennessee,3
2016,Texas,5
2016,Utah,0
2016,Vermont,0
2016,Virginia,6
2016,Washington,3
2016,West Virginia,0
2016,Wisconsin,0
2016,Wyoming,0
